5/27/1997,849.71
5/28/1997,847.21
5/29/1997,844.08
5/30/1997,848.28
6/2/1997,846.36
6/3/1997,845.48
6/4/1997,840.11
6/5/1997,843.43
6/6/1997,858.01
6/9/1997,862.91
6/10/1997,865.27
6/11/1997,869.57
6/12/1997,883.46
6/13/1997,893.27
6/16/1997,893.9
6/17/1997,894.43
6/18/1997,889.1
6/19/1997,897.99
6/20/1997,898.7
6/23/1997,878.62
6/24/1997,896.34
6/25/1997,888.99
6/26/1997,883.68
6/27/1997,887.3
6/30/1997,885.14
7/1/1997,891.03
7/2/1997,904.03
7/3/1997,916.92
7/7/1997,912.2
7/8/1997,918.75
7/9/1997,907.54
7/10/1997,913.78
7/11/1997,916.68
7/14/1997,918.38
7/15/1997,925.76
7/16/1997,936.59
7/17/1997,931.61
7/18/1997,915.3
7/21/1997,912.94
7/22/1997,933.98
7/23/1997,936.56
7/24/1997,940.28
7/25/1997,938.79
7/28/1997,936.45
7/29/1997,942.29
7/30/1997,952.29
7/31/1997,954.31
8/1/1997,947.14
8/4/1997,950.3
8/5/1997,952.37
8/6/1997,960.32
8/7/1997,951.19
8/8/1997,933.54
8/11/1997,937
8/12/1997,926.53
8/13/1997,922.02
8/14/1997,924.77
8/15/1997,900.81
8/18/1997,912.49
8/19/1997,926.01
8/20/1997,939.35
8/21/1997,925.05
8/22/1997,923.54
8/25/1997,920.16
8/26/1997,913.02
8/27/1997,913.7
8/28/1997,903.67
8/29/1997,899.47
9/2/1997,927.58
9/3/1997,927.85
9/4/1997,930.87
9/5/1997,929.05
9/8/1997,931.2
9/9/1997,933.62
9/10/1997,919.03
9/11/1997,912.59
9/12/1997,923.91
9/15/1997,919.77
9/16/1997,945.64
9/17/1997,943
9/18/1997,947.29
9/19/1997,950.51
9/22/1997,955.43
9/23/1997,951.93
9/24/1997,944.48
9/25/1997,937.91
9/26/1997,945.22
9/29/1997,953.34
9/30/1997,947.28
10/1/1997,955.41
10/2/1997,960.46
10/3/1997,965.03
10/6/1997,972.69
10/7/1997,983.12
10/8/1997,973.84
10/9/1997,970.62
10/10/1997,966.98
10/13/1997,968.1
10/14/1997,970.28
10/15/1997,965.72
10/16/1997,955.25
10/17/1997,944.16
10/20/1997,955.61
10/21/1997,972.28
10/22/1997,968.49
10/23/1997,950.69
10/24/1997,941.64
10/27/1997,876.97
10/28/1997,921.85
10/29/1997,919.15
10/30/1997,903.68
10/31/1997,914.62
11/3/1997,938.99
11/4/1997,940.76
11/5/1997,942.76
11/6/1997,938.03
11/7/1997,927.51
11/10/1997,921.13
11/11/1997,923.78
11/12/1997,905.96
11/13/1997,916.66
11/14/1997,928.35
11/17/1997,946.2
11/18/1997,938.23
11/19/1997,944.59
11/20/1997,958.98
11/21/1997,963.09
11/24/1997,946.67
11/25/1997,950.82
11/26/1997,951.64
11/28/1997,955.4
12/1/1997,974.77
12/2/1997,971.68
12/3/1997,976.77
12/4/1997,973.1
12/5/1997,983.79
12/8/1997,982.37
12/9/1997,975.78
12/10/1997,969.79
12/11/1997,954.94
12/12/1997,953.39
12/15/1997,963.39
12/16/1997,968.04
12/17/1997,965.54
12/18/1997,955.3
12/19/1997,946.78
12/22/1997,953.7
12/23/1997,939.12
12/24/1997,932.7
12/26/1997,936.46
12/29/1997,953.36
12/30/1997,970.84
12/31/1997,970.43
1/2/1998,975
1/5/1998,977.07
1/6/1998,966.58
1/7/1998,964
1/8/1998,956.04
1/9/1998,927.69
1/12/1998,939.21
1/13/1998,952.12
1/14/1998,957.94
1/15/1998,950.73
1/16/1998,961.51
1/20/1998,978.6
1/21/1998,970.78
1/22/1998,963.04
1/23/1998,957.58
1/26/1998,956.95
1/27/1998,969.02
1/28/1998,977.46
1/29/1998,985.49
1/30/1998,980.28
2/2/1998,1001.27
2/3/1998,1006
2/4/1998,1006.9
2/5/1998,1003.54
2/6/1998,1012.45
2/9/1998,1010.74
2/10/1998,1019.01
2/11/1998,1020.01
2/12/1998,1024.14
2/13/1998,1020.09
2/17/1998,1022.76
2/18/1998,1032.06
2/19/1998,1028.28
2/20/1998,1034.21
2/23/1998,1038.14
2/24/1998,1030.56
2/25/1998,1042.9
2/26/1998,1048.67
2/27/1998,1049.34
3/2/1998,1047.7
3/3/1998,1052.02
3/4/1998,1047.33
3/5/1998,1035.04
3/6/1998,1055.69
3/9/1998,1052.31
3/10/1998,1064.25
3/11/1998,1068.47
3/12/1998,1069.92
3/13/1998,1068.59
3/16/1998,1079.27
3/17/1998,1080.45
3/18/1998,1085.52
3/19/1998,1089.74
3/20/1998,1099.16
3/23/1998,1095.55
3/24/1998,1105.65
3/25/1998,1101.92
3/26/1998,1100.8
3/27/1998,1095.44
3/30/1998,1093.55
3/31/1998,1101.75
4/1/1998,1108.15
4/2/1998,1120.01
4/3/1998,1122.7
4/6/1998,1121.39
4/7/1998,1109.55
4/8/1998,1101.65
4/9/1998,1110.67
4/13/1998,1109.69
4/14/1998,1115.75
4/15/1998,1119.32
4/16/1998,1108.17
4/17/1998,1122.72
4/20/1998,1123.65
4/21/1998,1126.34
4/22/1998,1130
4/23/1998,1119.58
4/24/1998,1107.9
4/27/1998,1086.54
4/28/1998,1085.11
4/29/1998,1094.62
4/30/1998,1111.77
5/1/1998,1121
5/4/1998,1122.07
5/5/1998,1115.65
5/6/1998,1104.92
5/7/1998,1095.14
5/8/1998,1108.14
5/11/1998,1106.64
5/12/1998,1115.79
5/13/1998,1118.86
5/14/1998,1117.37
5/15/1998,1108.73
5/18/1998,1105.82
5/19/1998,1109.52
5/20/1998,1119.06
5/21/1998,1114.64
5/22/1998,1110.47
5/26/1998,1094.02
5/27/1998,1092.23
5/28/1998,1097.59
5/29/1998,1090.82
6/1/1998,1090.98
6/2/1998,1093.03
6/3/1998,1082.73
6/4/1998,1094.83
6/5/1998,1113.86
6/8/1998,1115.72
6/9/1998,1118.41
6/10/1998,1112.28
6/11/1998,1094.58
6/12/1998,1098.84
6/15/1998,1077.01
6/16/1998,1087.59
6/17/1998,1107.1
6/18/1998,1106.37
6/19/1998,1100.65
6/22/1998,1103.22
6/23/1998,1119.49
6/24/1998,1132.88
6/25/1998,1129.28
6/26/1998,1133.2
6/29/1998,1138.49
6/30/1998,1133.84
7/1/1998,1148.56
7/2/1998,1146.42
7/6/1998,1157.31
7/7/1998,1154.66
7/8/1998,1166.37
7/9/1998,1158.56
7/10/1998,1164.33
7/13/1998,1165.19
7/14/1998,1177.58
7/15/1998,1174.81
7/16/1998,1184.02
7/17/1998,1186.75
7/20/1998,1184.1
7/21/1998,1165.07
7/22/1998,1164.08
7/23/1998,1139.75
7/24/1998,1140.8
7/27/1998,1147.27
7/28/1998,1130.24
7/29/1998,1125.21
7/30/1998,1142.86
7/31/1998,1120.67
8/3/1998,1112.44
